,,,,,,
,Thatcham,diesel,9,1994,,
,Five Oaks,diesel,9,1995,,
,Chippenham,gas,10,2002,,
,Wheldale,gas,10,2002,,
Scottish & Southern Energy plc ,,,,,,
    Island Generation,Stornoway,diesel,24,1950,,
,Lerwick,diesel,67,1953,,
,Arnish,diesel,3,2001,,
,Kirkwall,diesel,16,1953,,
,"Loch Carnan, South Uist",diesel,12,1971,,
,Bowmore,diesel,6,1946,,
,Tiree,diesel,3,1945,,
,Barra,diesel,2,1990,,
Scottish Power,,,,,,
  Hydro schemes:,,,,,,
    Galloway,Carsfad,hydro,12,1936,,
,Drumjohn,hydro,2,1985,,
,Earlstoun,hydro,14,1936,,
,Glenlee,hydro,24,1935,,
,Kendoon,hydro,24,1936,,
,Tongland,hydro,33,1935,,
,,,,,,
    Lanark,Bonnington,hydro,11,1927,,
,Stonebyres,hydro,5,1927,,
,,,,,,
    Cruachan,Cruachan,pumped storage,399,1966,,
,,,,,,
  Thermal:,Cockenzie,coal,"1,152",1967,,
,Longannet,coal,"2,304",1970,,
,Knapton,gas,40,1994,,
,Rye House,CCGT,715,1993,,
,Damhead Creek,CCGT,792,2000,,
,Shoreham,CCGT,400,2000,,
,,,,,,
   Wind,Beinn an Tuirc,wind,30,2002,,
,Dunlaw,wind,17,2000,,
,Hare Hill,wind,13,2000,,
,Hagshaw Hill,wind,16,1995,,
,Cruach Mhor,wind,30,2004,,
,Coal Clough,wind,10,1992,,
,Carland Cross,wind,6,1992,,
,Rigged Hill,wind,5,1994,,
,Corkey,wind,5,1994,,
,Elliots Hill,wind,5,1995,,
,Penryddian & Llidiartywaun,wind,31,1992,,
,,,,,,
Seabank Power Limited,Seabank 1,CCGT,812,1998,,
,Seabank 2,CCGT,410,2000,,
,,,,,,
Sita Tyre Recycling Ltd ,Wolverhampton(7),waste,20,1994,,
South East London,,,,,,
Combined Heat & Power Ltd,"Landmann Way, London",waste,32,1994,,
,,,,,,
Spalding Energy Company Ltd,Spalding,CCGT,903,2004,,
,,,,,,
Teesside Power Ltd,Teesside Power Station,CCGT,"1,875",1992,,
,,,,,,
Uskmouth Power Company Ltd,Uskmouth (2),coal,393,2000,,
,,,,,,
Western Power Generation,St Marys,gas oil,6,1958,,
,Princetown,kerosene,3,1959,,
,Lynton,gas oil,2,1961,,
,Roseland,kerosene,5,1963,,
